iter	Logloss
0	0.6652227839
1	0.6471186228
2	0.6345962637
3	0.6256972147
4	0.6193799631
5	0.6147192579
6	0.6114456363
7	0.6090654501
8	0.6072939203
9	0.6060806245
10	0.6050047404
11	0.6041688481
12	0.603505579
13	0.6029654697
14	0.602533851
15	0.602128512
16	0.5958609143
17	0.5847851943
18	0.5712666798
19	0.5585076194
20	0.5431570386
21	0.5285231361
22	0.5168526877
23	0.5065964046
24	0.4974369043
25	0.4919954361
26	0.4866886528
27	0.4828879459
28	0.4798576012
29	0.4781017397
30	0.4756825032
31	0.4742291649
32	0.4715454776
33	0.4688713379
34	0.46775511
35	0.4655513684
36	0.4637065952
37	0.4629744284
38	0.4623025047
39	0.4608840044
40	0.4595521885
41	0.457653636
42	0.455407331
43	0.4541097324
44	0.4516899422
45	0.449591381
46	0.448681947
47	0.4478758635
48	0.4476819042
49	0.447541418
50	0.4473997474
51	0.444583757
52	0.4434255871
53	0.4423403377
54	0.4421189762
55	0.4419884993
56	0.4418786681
57	0.4417125063
58	0.4411646224
59	0.4408199372
60	0.4400386877
61	0.4384346029
62	0.4368992651
63	0.4362423429
64	0.4361263895
65	0.4358661951
66	0.4357912931
67	0.4356430598
68	0.4354237537
69	0.4353576514
70	0.4339271716
71	0.4334221893
72	0.4333798414
73	0.433332759
74	0.4332858905
75	0.4332291473
76	0.433183588
77	0.4324359139
78	0.4319119164
79	0.4315916296
80	0.4312791633
81	0.4310512174
82	0.4305822875
83	0.4300255391
84	0.4293922364
85	0.4287174777
86	0.428584144
87	0.4285439947
88	0.4279337428
89	0.4273101266
90	0.4272742166
91	0.427233629
92	0.4269447637
93	0.4269157344
94	0.4268904634
95	0.4263303586
96	0.4263014409
97	0.4262702285
98	0.4262438984
99	0.4259990261
100	0.4259747201
101	0.4259488146
102	0.4257366694
103	0.4257023048
104	0.4255709972
105	0.4253394089
106	0.4250780314
107	0.4247544691
108	0.424252085
109	0.4239466009
110	0.4239213528
111	0.4238941972
112	0.4238640151
113	0.423555987
114	0.4235268975
115	0.4235030537
116	0.4234767579
117	0.4234481623
118	0.4234230612
119	0.4234009385
120	0.4233739393
121	0.4233506603
122	0.4233270383
123	0.4233103919
124	0.4232859171
125	0.4232661055
126	0.42324452
127	0.4232215405
128	0.4232042985
129	0.4230933648
130	0.4229661423
131	0.4228651055
132	0.4228460314
133	0.4226492192
134	0.4226276814
135	0.4224992805
136	0.4224680351
137	0.4224510967
138	0.4224354324
139	0.4224088621
140	0.4223879737
141	0.4222925909
142	0.422274256
143	0.4222502541
144	0.4222326584
145	0.4222173086
146	0.4221939451
147	0.4221709874
148	0.4221535763
149	0.4221085135
150	0.422091764
151	0.4220690238
152	0.4220551189
153	0.4220305514
154	0.422009873
155	0.4219914669
156	0.4219694719
157	0.4219521021
158	0.421933446
159	0.4219148368
160	0.4218682932
161	0.4218451676
162	0.4217537447
163	0.4217340228
164	0.4217135646
165	0.4216964619
166	0.4216779459
167	0.4216588119
168	0.421637326
169	0.4216166584
170	0.4215941217
171	0.421575393
172	0.4215590061
173	0.4215107357
174	0.4214835943
175	0.4214631745
176	0.4214452172
177	0.4214272988
178	0.4214053543
179	0.4213846942
180	0.4213615767
181	0.4213433665
182	0.4213224873
183	0.4213076864
184	0.4212918821
185	0.4212697482
186	0.4212515491
187	0.4212279704
188	0.4212030547
189	0.4211891182
190	0.4211735248
191	0.4211555834
192	0.4211376796
193	0.4211018917
194	0.4210840374
195	0.4210665311
196	0.4210487006
197	0.4210346081
198	0.4210118497
199	0.4209968952
